Id,SalePrice
1460,147517.5
1461,133641.95
1462,160149.39
1463,186678.97
1464,192480.06
1465,196076.77
1466,172485.9
1467,177700.33
1468,172286.3
1469,183234.16
1470,124768.21
1471,198190.16
1472,91840.81
1473,97346.36
1474,155779.42
1475,137752.77
1476,440000.88
1477,259661.4
1478,312974.16
1479,242241.6
1480,487679.6
1481,327266.5
1482,209400.17
1483,179840.19
1484,173833.77
1485,168128.16
1486,196651.2
1487,364837.3
1488,233000.88
1489,218069.73
1490,208043.69
1491,185355.69
1492,86217.945
1493,189643.39
1494,290836.6
1495,284665.4
1496,247156.33
1497,186350.72
1498,155113.11
1499,154195.45
1500,151029.77
1501,187502.22
1502,162288.62
1503,313478.0
1504,230730.44
1505,229349.31
1506,193011.7
1507,236550.6
1508,213653.08
1509,165857.67
1510,148337.73
1511,144955.33
1512,171597.34
1513,156216.11
1514,169683.6
1515,190231.19
1516,158804.83
1517,161835.92
1518,130277.68
1519,223264.4
1520,136460.2
1521,140384.67
1522,169237.3
1523,113462.664
1524,123091.52
1525,124275.89
1526,118552.805
1527,102945.88
1528,125000.18
1529,150635.56
1530,165476.11
1531,124081.5
1532,101323.98
1533,139051.4
1534,113408.97
1535,165700.88
1536,115170.664
1537,70655.305
1538,187360.58
1539,170071.97
1540,92763.164
1541,146720.94
1542,149988.52
1543,217473.25
1544,89106.53
1545,98313.14
1546,129424.26
1547,143768.05
1548,135946.11
1549,121567.11
1550,147839.3
1551,111430.484
1552,140171.34
1553,148251.25
1554,117805.11
1555,174663.25
1556,81549.586
1557,115709.7
1558,81700.08
1559,89012.414
1560,135512.6
1561,143015.42
1562,129191.98
1563,123953.96
1564,146904.0
1565,156319.61
1566,207580.47
1567,67160.695
1568,233053.44
1569,147662.84
1570,129232.27
1571,136345.67
1572,146819.5
1573,235017.08
1574,106974.086
1575,212709.11
1576,236507.33
1577,206691.2
1578,149566.16
1579,144083.42
1580,185541.58
1581,150383.0
1582,126781.27
1583,341108.4
1584,238590.03
1585,140361.38
1586,72729.02
1587,95266.88
1588,161735.61
1589,96188.664
1590,136479.78
1591,103325.41
1592,120779.086
1593,120850.07
1594,129808.195
1595,103737.06
1596,248133.11
1597,160312.06
1598,201575.23
1599,200681.9
1600,192112.38
1601,72556.914
1602,105929.5
1603,86981.38
1604,274949.4
1605,244576.36
1606,168830.23
1607,158769.58
1608,211963.83
1609,202823.05
1610,159925.17
1611,141740.84
1612,149170.78
1613,151708.14
1614,120326.98
1615,86877.65
1616,77522.086
1617,90383.91
1618,128621.805
1619,135631.25
1620,149975.17
1621,136774.69
1622,146955.48
1623,301855.88
1624,231139.47
1625,125688.336
1626,166580.06
1627,184638.22
1628,264220.78
1629,174594.64
1630,371539.1
1631,216030.02
1632,254642.92
1633,172412.55
1634,187767.53
1635,182905.22
1636,160440.0
1637,170471.1
1638,209245.48
1639,182571.14
1640,251428.02
1641,174883.12
1642,231351.84
1643,215750.27
1644,233399.5
1645,187738.66
1646,161675.0
1647,154196.7
1648,133393.02
1649,143408.1
1650,113300.805
1651,119771.734
1652,93331.164
1653,94949.74
1654,157854.77
1655,151305.16
1656,149178.86
1657,156186.62
1658,148590.73
1659,141450.83
1660,155870.53
1661,478182.12
1662,403906.62
1663,365437.62
1664,452719.25
1665,316796.12
1666,321689.3
1667,369556.75
1668,333230.75
1669,293714.28
1670,335944.5
1671,262014.67
1672,512356.06
1673,292449.16
1674,254034.47
1675,192087.86
1676,194551.52
1677,226718.62
1678,463816.0
1679,374257.94
1680,329174.47
1681,254729.78
1682,288284.5
1683,178519.31
1684,165603.2
1685,174809.22
1686,164820.73
1687,168864.11
1688,180166.16
1689,185364.64
1690,186856.12
1691,179801.4
1692,280478.03
1693,165902.86
1694,186742.48
1695,168786.61
1696,287307.34
1697,179729.9
1698,376453.3
1699,345431.97
1700,263696.8
1701,257416.53
1702,243378.2
